Row Number (For Sorting),Title,Alt Title,Author,Year,City,City Cleaned,Country,Database,Record Number,Data Entry Event,Coordinates
93,אהל יצחק : ... על דיני שחיטות ובדיקות / Ohel Yitsḥaḳ : ... ʿal dine sheḥiṭot u-vediḳot,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.;  Daṿid Shelomoh, di-ḳ.ḳ. Soroḳo; Jacob ben Judah Weil; Joseph ben Meir Teomim; Alexander Sender Shor, of Zólkiew; Ephraim Zalman ben Menahem Mannes Margolioth",1819,Lvov,Lvov,,WorldCat,1084312461,WorldCat Export V3,"49.839683, 24.029717"
51,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף ... רבי צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1723,[פראנקפורט דמיין],Frankfurt,,BHB,130991,BHB Export,"50.1109221, 8.6821267"
59,שחיטות ובדיקות," ... עם הגהות וחדושים שליקט ואסף הר""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1745,אמשטרדם,Amsterdam,,BHB,130998,BHB Export,"52.3702157, 4.8951679"
106,Sefer Zevaḥ Shemuʼel : ʻim ha-gahot derishat ha-zeʼev.,,"Samuel ben Moses, of Lissa.; Jacob ben Judah Weil; Shemuʼel Zeʼev ben Daṿid.",1822,Dyhrenfurth,Brzeg Dolny,,WorldCat,84732595,WorldCat Export V3,"51.272827, 16.708557"
110,"שחיטות : ... עם הגהות : [בדיקות ... עם הגהות ... עם דיני ניקור הבשר לרש""י ... והגהות מבעלת העטור]. Sheḥiṭot : ... ʻim hagahot : [Bediḳot ... ʻim hagahot ... ʻim Dine niḳur ha-baśar le-Rashi ... ṿe-hagahot mi-baʻal ha-ʻIṭur].",,Jacob ben Judah Weil;  Isaac ben Abba Mari,1563,Mantovah,Mantua,,WorldCat,500365013,WorldCat Export V3,"45.1564168, 10.7913751"
209,Shehitot,Shehitot (with glosses of the Mantua ...),"Weil, Jacob b. Judah",1563,Mantua ,Mantua,,BHB,130958,Summer Cataloguing,"45.1564168, 10.7913751"
210,Bedikot,Bedikot (with shortened Badika forms and instructions from Rashi),"Weil, Jacob b. Judah",1563,Mantua ,Mantua,,BHB,130931,Summer Cataloguing,"45.1564168, 10.7913751"
34,שחיטות ובדיקות," של ... ר' יעקב ווייל זצ""ל. עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק[!] ז""ל, ממה שבא לידו ... בק""ק קראקא.","ווייל, יעקב בן יהודה",1681,פראג,Prague,,BHB,318680,BHB Export,"50.075538, 14.4378"
64,שחיטות ובדיקות," ... עם ... פירוש ... באר אברהם אשר חפר ... ר' אברהם בן ... ר' פנחס לאווסיץ. חתן המנוח כהרר פייס אפטיקר ז""ל מק""ק אמשטרדם. וניתוסף בו כל הציורים וצורות הריאה והשאלות ותשובות ...","ווייל, יעקב בן יהודה",1762,אמשטרדם,Amsterdam,,BHB,131001,BHB Export,"52.3702157, 4.8951679"
74,שחיטות ובדיקות," ... עם ... פירוש אהל ישראל אשר ... חבר ... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין ... נדפס... במצות והוצאות הר""ר איציק בהר""ר אהרן זעליג, זעצר ודרוקר מפ""פ דאדר.","ווייל, יעקב בן יהודה",1790,"  פ""פ [פראנקפורט] דאדר",Frankfurt,,BHB,131013,BHB Export,"50.1109221, 8.6821267"
