"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"1270013942","ספר שחיטות ובדיקות Sefer Sheḥiṭot u-bediḳot","Yaʿaḳov Ben-Yehudah Ṿail; Hirsch","Hebrew","book_printbook","","בבית ובדפוס המשובח כהר''ר חיים בן כה''ר צבי הירש זצ''ל ... Be-Fiyorda be-vet u-ve-defus ha-meshuvaḥ k.h.r.R. Ḥayyim ben k.h.R. Tsevi Hirsh z.ts.l. ... [1768] = [5]528","","","2021-10-26 18:13"
"122740701","שחיטות ובדיקות : מהגאון הגדול מהר״י וייל זצ״ל : עם תוספות פירוש חדש באר אברהם [אשר חבר ... אברהם בן פנחס לאווסיץ]. Sheḥiṭot u-vediḳot : meha-gaʼon ha-gadol mo. ha-R.Y. Ṿail zatsal","Jacob ben Judah Weil; Abraham ben Pinkhos Lovsitz","Hebrew","book_printbook","","Amsterdam : [publisher not identified], 522 [1762]","","","2021-10-26 18:13"
"959597486","ספר לקוטי שושנים / Sefer Liḳuṭe shoshanim","Daṿid ibn Hin; Jacob ben Ḥayyim Berab; Meir ben Isaac Arama; Obadiah ben Jacob Sforno; Isaac Gershon; Shemuʼel Almośnino; Joseph ben Abraham Gikatilla; Moses ben Jacob Cordovero; Jacob ben Judah Weil; Daniele Zanetti","Hebrew","book_printbook","","במצות דניאל זניטי ובבית, Ṿinitsiʼah : Be-mitsṿat Daniʼel Zaniṭi ube-veto, 5362 [1602]","","","2021-10-26 18:13"
"173032833","‏ספר שחיטות ובדיקות :‏ ‏של הגאון מהר״י ווייל : עם תוספת פירוש אהל ישראל /‏ Sefer sheḥiṭot u-vediḳot : shel ha-gaʼon MaHaRI Ṿail : ʻim tosfot perush ohel Yiśraʼel","Jacob ben Judah Weil;  Israel, of Copenhagen.","Hebrew","book_printbook","","‏איצק כהר""ר אהרן זעליג, ‏ Dʼardar : Itsaḳ khar""r Aharon Zʻelig, 550, 1790.","","","2021-10-26 18:13"
"61248164","‏קיצור אהל יצחק :‏ ‏על דיני שחיתות ובדיקות. Ḳitsur Ohel Yitsḥaḳ : ʻal dine sheḥitot u-vediḳot.","Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.","Hebrew","book_printbook","","‏[ח״מו״ל], ‏ Ofen : [Ḥ mo. l.], 1826.","","","2021-10-26 18:13"
"1084312461","אהל יצחק : ... על דיני שחיטות ובדיקות / Ohel Yitsḥaḳ : ... ʿal dine sheḥiṭot u-vediḳot","Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.;  Daṿid Shelomoh, di-ḳ.ḳ. Soroḳo; Jacob ben Judah Weil; Joseph ben Meir Teomim; Alexander Sender Shor, of Zólkiew; Ephraim Zalman ben Menahem Mannes Margolioth","Hebrew","book_printbook","","Lvov, [579, 1819]","","","2021-10-26 18:13"
"123019885","ימין משה : ... והם הגהות על הש״ע מהלכות שחיטות ובדיקות וטריפות ... / Yemin Mosheh : ... ṿe-hem ḥagahot ʻal ha-Sh. ʻa. me-Hilkhot sheḥitot u-bediḳot u-ṭerefot ...","Mosheh ben Yosef Ṿenṭurah; Moses ben Israel Isserles","Hebrew","book_printbook","","[נדפס בבית יהודה שמואל, Manṭubah : [Nidpas be-vet Yehudah Shemuʼel], [1624]","","","2021-10-26 18:13"
"44745298","נחלת זבחי צבי : על שחיטות ובדיקות / Naḥalat zivḥe Tsevi : ʻal sheḥiṭot u-vediḳot","מאיר צבי הירש בן פסח. Meʼir Tsevi Hirsh ben Pesaḥ.; Jacob ben Judah Weil","Hebrew","book_printbook","","[Bamberg?] : [publisher not identified], 1784.","","","2021-10-26 18:13"
"828630314","דיני שחיטות ובדיקות. Dine sheḥiṭot u-vediḳot.","Yehudah Lev Aiger; Jewish Theological Seminary of America. Library.","Hebrew","book_mss","","[1814]","","","2021-10-26 18:13"
"1062088429","ספר טוב רואי : פירוש על שחיטות ובדיקות / Sefer Ṭov roʼi : perush ʿal sheḥiṭot u-vediḳot","גרין הוט, דוד בן נתן, המאה ה־17. David ben Nathan Gruenhut; Jacob ben Judah Weil","Hebrew","book_printbook","","[Frankfort on the Main?], [1702?]","","","2021-10-26 18:13"
